disease,symptoms
fibromyalgia,"headache,leg pain,low back pain,muscle pain,arm pain,ache all over,back pain,hip pain"
problem during pregnancy,"nausea,sharp abdominal pain,pain during pregnancy,vomiting,problems during pregnancy,back pain"
chronic pain disorder,"leg pain,shoulder pain,low back pain,knee pain,back pain,pelvic pain"
panic disorder,"depressive or psychotic symptoms,insomnia,breathing fast,shortness of breath,chest tightness,palpitations"
eating disorder,"depression,weight gain,insomnia,abusing alcohol,acne or pimples"
glaucoma,"spots or clouds in vision,symptoms of eye,eye redness,foreign body sensation in eye"
glaucoma,"itchiness of eye,spots or clouds in vision,diminished vision,foreign body sensation in eye,pain in eye"
vaginitis,"lower abdominal pain,suprapubic pain,pelvic pain,pain during pregnancy,vaginal itching"
fracture of the hand,"arm pain,arm stiffness or tightness,wrist pain,hand or finger swelling"
cellulitis or abscess of mouth,"sore throat,toothache,abnormal appearing skin,lip swelling"
cirrhosis,"peripheral edema,abdominal distention,upper abdominal pain,sharp abdominal pain,shortness of breath"
ischemia of the bowel,"sharp abdominal pain,retention of urine,constipation"
eating disorder,"weight gain,decreased appetite,difficulty eating,depressive or psychotic symptoms,depression,abusing alcohol,anxiety and nervousness"
cirrhosis,"peripheral edema,shortness of breath,vomiting blood,upper abdominal pain"
pyelonephritis,"frequent urination,sharp abdominal pain,side pain,painful urination,lower abdominal pain,nausea,vomiting"
eating disorder,"depressive or psychotic symptoms,weight gain,acne or pimples,anxiety and nervousness,depression,decreased appetite,abusing alcohol"
acute pancreatitis,"diarrhea,lower body pain,side pain,sharp abdominal pain,vomiting"
eye alignment disorder,"eye moves abnormally,diminished vision,eye deviation"
transient ischemic attack,"loss of sensation,depressive or psychotic symptoms"
acute pancreatitis,"sharp chest pain,nausea,vomiting,hemoptysis,burning abdominal pain"
fibromyalgia,"headache,neck pain,low back pain,hip pain,muscle pain"
cirrhosis,"vomiting blood,upper abdominal pain,sharp abdominal pain,blood in stool"
vaginitis,"vaginal redness,sharp abdominal pain,suprapubic pain,painful urination"
transient ischemic attack,"paresthesia,headache,symptoms of the face,dizziness,weakness,loss of sensation,depressive or psychotic symptoms,focal weakness,disturbance of memory"
acute pancreatitis,"sharp chest pain,side pain,sharp abdominal pain,diarrhea,vomiting,burning abdominal pain,lower body pain,hemoptysis,upper abdominal pain"
diabetic retinopathy,"abnormal movement of eyelid,foreign body sensation in eye,pain in eye,diminished vision,spots or clouds in vision"
diabetic retinopathy,"spots or clouds in vision,abnormal movement of eyelid,lacrimation,foreign body sensation in eye"
eating disorder,"decreased appetite,insomnia,acne or pimples,abusing alcohol,depressive or psychotic symptoms,weight gain"
panic disorder,"chest tightness,shortness of breath,anxiety and nervousness,depressive or psychotic symptoms,palpitations"
asthma,"difficulty breathing,cough,chest tightness,allergic reaction,coughing up sputum,coryza"
cirrhosis,"regurgitation,peripheral edema,shortness of breath,sharp abdominal pain,vomiting blood,abdominal distention,blood in stool,regurgitation.1"
problem during pregnancy,"lower abdominal pain,nausea,headache,pain during pregnancy,vomiting,problems during pregnancy,back pain,sharp abdominal pain"
vaginitis,"vaginal pain,pain during intercourse,lower abdominal pain,vaginal redness"
vaginitis,"lower abdominal pain,vaginal discharge,sharp abdominal pain,pelvic pain,suprapubic pain,vaginal itching,vaginal pain"
transient ischemic attack,"weakness,difficulty speaking,focal weakness,headache,paresthesia,dizziness"
panic disorder,"chest tightness,palpitations,dizziness,anxiety and nervousness,breathing fast,insomnia,depressive or psychotic symptoms"
problem during pregnancy,"back pain,sharp abdominal pain,vomiting,nausea,spotting or bleeding during pregnancy,pelvic pain"
pyelonephritis,"lower abdominal pain,painful urination,nausea,suprapubic pain,sharp abdominal pain"
vaginitis,"vaginal redness,lower abdominal pain,pain during intercourse,painful urination,vaginal itching,vaginal pain,pelvic pain"
cirrhosis,"peripheral edema,sharp abdominal pain,blood in stool,upper abdominal pain,regurgitation.1,abdominal distention,regurgitation"
atelectasis,"shortness of breath,dizziness,cough,sharp chest pain,sore throat"
transient ischemic attack,"focal weakness,loss of sensation,weakness,disturbance of memory"
eating disorder,"decreased appetite,difficulty eating,acne or pimples,anxiety and nervousness,insomnia,depressive or psychotic symptoms,depression,abusing alcohol"
asthma,"coughing up sputum,difficulty breathing"
thrombophlebitis,"lymphedema,arm pain,leg swelling,arm swelling,foot or toe pain"
pyelonephritis,"side pain,blood in urine,sharp abdominal pain,low back pain"
sick sinus syndrome,"weakness,palpitations,increased heart rate"
glaucoma,"symptoms of eye,spots or clouds in vision,foreign body sensation in eye,itchy eyelid,pain in eye,itchiness of eye"
acute pancreatitis,"upper abdominal pain,abusing alcohol,vomiting,diarrhea,hemoptysis"
pyelonephritis,"blood in urine,nausea,painful urination,frequent urination,low back pain"
cirrhosis,"abdominal distention,sharp abdominal pain,vomiting blood,blood in stool"
pyelonephritis,"nausea,sharp abdominal pain,vomiting,back pain,side pain,blood in urine"
problem during pregnancy,"cramps and spasms,vomiting,nausea,back pain,spotting or bleeding during pregnancy,pelvic pain"
peritonitis,"shortness of breath,groin mass,intermenstrual bleeding,vomiting,side pain,back pain"
problem during pregnancy,"lower abdominal pain,cramps and spasms,problems during pregnancy,vomiting,headache"
headache after lumbar puncture,"low back pain,dizziness"
peritonitis,"nausea,sharp abdominal pain,back pain,intermenstrual bleeding,shortness of breath"
acute pancreatitis,"vomiting,lower body pain,nausea,side pain"
panic disorder,"breathing fast,palpitations,chest tightness,depressive or psychotic symptoms,irregular heartbeat,anxiety and nervousness,dizziness"
transient ischemic attack,"depressive or psychotic symptoms,focal weakness,headache,difficulty speaking,paresthesia"
chronic pain disorder,"shoulder pain,low back pain,hip pain,ache all over,sharp abdominal pain"
chronic pain disorder,"low back pain,headache,hip pain,pelvic pain,ache all over"
pyelonephritis,"low back pain,suprapubic pain,lower abdominal pain,side pain"
chronic pain disorder,"knee pain,low back pain,pelvic pain,back pain,ache all over,headache"
headache after lumbar puncture,"neck pain,headache"
asthma,"coryza,nasal congestion,cough,coughing up sputum,allergic reaction,fever"
glaucoma,"foreign body sensation in eye,itchy eyelid,symptoms of eye"
peritonitis,"sharp abdominal pain,shortness of breath,back pain,groin mass,side pain,intermenstrual bleeding"
glaucoma,"foreign body sensation in eye,spots or clouds in vision,eye redness,itchiness of eye,diminished vision,symptoms of eye"
problem during pregnancy,"nausea,sharp abdominal pain,vomiting,pain during pregnancy"
asthma,"nasal congestion,sharp chest pain,cough,allergic reaction,shortness of breath,coughing up sputum,wheezing"
atrophic vaginitis,"vaginal discharge,vaginal itching,blood in urine,suprapubic pain"
pyelonephritis,"vomiting,suprapubic pain,blood in urine"
choledocholithiasis,"upper abdominal pain,side pain,vomiting,nausea,decreased appetite,jaundice"
problem during pregnancy,"cramps and spasms,back pain,spotting or bleeding during pregnancy,headache,problems during pregnancy,vomiting,pelvic pain,sharp abdominal pain"
injury to the knee,"knee weakness,leg pain"
fibromyalgia,"headache,hip pain,low back pain,back pain"
pyelonephritis,"low back pain,sharp abdominal pain,painful urination,vomiting,nausea,suprapubic pain,side pain,frequent urination"
panic disorder,"abnormal involuntary movements,insomnia,depressive or psychotic symptoms,palpitations,shortness of breath,breathing fast"
glaucoma,"diminished vision,itchy eyelid,eye redness,symptoms of eye,itchiness of eye,lacrimation,spots or clouds in vision"
eating disorder,"abusing alcohol,weight gain,decreased appetite,insomnia,anxiety and nervousness,acne or pimples"
transient ischemic attack,"symptoms of the face,depressive or psychotic symptoms,paresthesia,focal weakness,loss of sensation"
problem during pregnancy,"nausea,cramps and spasms,spotting or bleeding during pregnancy,problems during pregnancy,pelvic pain,pain during pregnancy,back pain"
chronic pain disorder,"ache all over,headache,low back pain,sharp abdominal pain"
eye alignment disorder,"diminished vision,cross-eyed,lack of growth,irregular appearing scalp"
acute pancreatitis,"lower body pain,sharp chest pain,sharp abdominal pain,nausea,diarrhea,back pain,side pain,hemoptysis,vomiting,burning abdominal pain"
acute pancreatitis,"sharp chest pain,back pain,sharp abdominal pain,abusing alcohol,upper abdominal pain,burning abdominal pain"
transient ischemic attack,"loss of sensation,symptoms of the face,dizziness,weakness,focal weakness,depressive or psychotic symptoms,paresthesia"
tinnitus of unknown cause,"dizziness,ringing in ear,plugged feeling in ear,itchy ear(s),headache,hoarse voice,ear pain"
pyelonephritis,"lower abdominal pain,painful urination,vomiting,side pain,nausea,blood in urine,frequent urination"
atrophic vaginitis,"suprapubic pain,vaginal itching,blood in urine,pain during intercourse,frequent urination"
glaucoma,"foreign body sensation in eye,symptoms of eye,itchiness of eye,pain in eye,itchy eyelid,eye redness"
panic disorder,"dizziness,depressive or psychotic symptoms,abnormal involuntary movements,breathing fast,depression,palpitations"
acute pancreatitis,"upper abdominal pain,back pain,vomiting,diarrhea,burning abdominal pain,sharp chest pain,side pain"
problem during pregnancy,"lower abdominal pain,vomiting,cramps and spasms,pain during pregnancy,spotting or bleeding during pregnancy,back pain,sharp abdominal pain,problems during pregnancy"
problem during pregnancy,"pelvic pain,nausea,headache,spotting or bleeding during pregnancy,vomiting,problems during pregnancy"
thrombophlebitis,"lymphedema,skin swelling,ache all over,arm pain,foot or toe pain"
thrombophlebitis,"arm swelling,leg pain,skin on leg or foot looks infected,leg swelling,skin swelling"
chronic pain disorder,"leg pain,knee pain,back pain,low back pain,sharp abdominal pain"
acute pancreatitis,"sharp abdominal pain,lower body pain,hemoptysis,nausea,diarrhea"
cirrhosis,"upper abdominal pain,blood in stool,abdominal distention,sharp abdominal pain,vomiting blood"
thrombophlebitis,"arm swelling,leg swelling,arm pain,leg pain,foot or toe pain,skin swelling"
acute pancreatitis,"nausea,sharp abdominal pain,sharp chest pain,back pain,abusing alcohol,burning abdominal pain,side pain"
chronic pain disorder,"pelvic pain,back pain,leg pain,low back pain,knee pain"
acute pancreatitis,"nausea,sharp chest pain,back pain,side pain,vomiting,burning abdominal pain,diarrhea"
chronic pain disorder,"sharp abdominal pain,shoulder pain,pelvic pain,leg pain,headache"
eating disorder,"decreased appetite,insomnia,anxiety and nervousness,weight gain,abusing alcohol"
vaginitis,"suprapubic pain,vaginal discharge,pelvic pain,vaginal redness,vaginal pain"
vaginitis,"lower abdominal pain,vaginal itching,painful urination,sharp abdominal pain,pain during intercourse,vaginal discharge,pelvic pain"
injury to the hand,"hand or finger stiffness or tightness,skin growth,wrist swelling,hand or finger pain"
glaucoma,"foreign body sensation in eye,spots or clouds in vision,pain in eye,symptoms of eye,eye redness,itchiness of eye"
peritonitis,"shortness of breath,side pain"
diabetic retinopathy,"spots or clouds in vision,itchiness of eye,diminished vision,abnormal movement of eyelid,foreign body sensation in eye,double vision"
acute pancreatitis,"sharp abdominal pain,abusing alcohol,side pain,nausea,sharp chest pain,hemoptysis"
fracture of the hand,"arm stiffness or tightness,arm pain,wrist pain,hand or finger stiffness or tightness,wrist swelling"
transient ischemic attack,"paresthesia,disturbance of memory,weakness,depressive or psychotic symptoms"
panic disorder,"depressive or psychotic symptoms,abnormal involuntary movements,chest tightness,dizziness,irregular heartbeat,depression,insomnia,palpitations"
eating disorder,"abusing alcohol,depression,weight gain"
glaucoma,"spots or clouds in vision,eye redness,foreign body sensation in eye,itchiness of eye,diminished vision"
diabetic retinopathy,"symptoms of eye,itchiness of eye,pain in eye,foreign body sensation in eye,abnormal movement of eyelid"
peritonitis,"groin mass,vomiting,back pain,side pain,sharp abdominal pain,intermenstrual bleeding,shortness of breath"
acute pancreatitis,"burning abdominal pain,sharp chest pain,sharp abdominal pain,upper abdominal pain,nausea,side pain"
problem during pregnancy,"cramps and spasms,lower abdominal pain,back pain,headache,vomiting,sharp abdominal pain,pelvic pain"
diabetic retinopathy,"abnormal movement of eyelid,itchiness of eye,diminished vision,lacrimation,pain in eye,symptoms of eye,foreign body sensation in eye"
panic disorder,"depressive or psychotic symptoms,anxiety and nervousness,breathing fast,irregular heartbeat"
diabetic retinopathy,"double vision,itchiness of eye,abnormal movement of eyelid,symptoms of eye,pain in eye,lacrimation,foreign body sensation in eye"
diabetic retinopathy,"symptoms of eye,spots or clouds in vision,itchiness of eye,abnormal movement of eyelid"
problem during pregnancy,"vomiting,sharp abdominal pain,lower abdominal pain,pelvic pain,pain during pregnancy"
vaginitis,"pain during pregnancy,painful urination,vaginal discharge,pain during intercourse,vaginal pain"
chronic pain disorder,"back pain,ache all over,sharp abdominal pain,headache"
problem during pregnancy,"sharp abdominal pain,vomiting,spotting or bleeding during pregnancy,back pain,problems during pregnancy,headache,cramps and spasms"
osteochondrosis,"hand or finger pain,ankle pain,elbow pain"
pyelonephritis,"painful urination,back pain,lower abdominal pain,sharp abdominal pain,suprapubic pain,vomiting,nausea"
eating disorder,"abusing alcohol,anxiety and nervousness,weight gain,difficulty eating"
acute pancreatitis,"upper abdominal pain,sharp abdominal pain,diarrhea,sharp chest pain,hemoptysis,lower body pain,side pain"
pyelonephritis,"frequent urination,vomiting,lower abdominal pain"
glaucoma,"foreign body sensation in eye,eye redness,itchiness of eye,symptoms of eye"
glaucoma,"diminished vision,foreign body sensation in eye,eye redness,itchiness of eye,pain in eye"
